"id";"nombre";"descripcion";"precio";"categoria";"imagen";"url_producto";"imagen_incrustada"
"p1";"TOMATES PERITA X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24279kg_2.jpg";"https://vallearriba.elplazas.com/tomate-perita.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24279kg_2.jpg", 1)"
"p2";"LECHOSA X KG";"";"1.75";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24166kg_2.jpg";"https://vallearriba.elplazas.com/lechosa.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24166kg_2.jpg", 1)"
"p3";"ZANAHORIAS X KG";"";"2.45";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24299kg.jpg";"https://vallearriba.elplazas.com/plz-24299kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24299kg.jpg", 1)"
"p4";"CALABACINES X KG";"";"1.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24046kg_2.jpg";"https://vallearriba.elplazas.com/calabacin.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24046kg_2.jpg", 1)"
"p5";"PIMENTON ROJO X KG";"";"5.95";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24378.jpg";"https://vallearriba.elplazas.com/plz-24378kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24378.jpg", 1)"
"p6";"MANGO INJERTO X KG";"";"1.45";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24186kg_2.jpg";"https://vallearriba.elplazas.com/mango-injerto.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24186kg_2.jpg", 1)"
"p7";"REPOLLO BLANCO X KG";"";"1.15";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24256kg_2.jpg";"https://vallearriba.elplazas.com/repollo-blanco.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24256kg_2.jpg", 1)"
"p8";"PEPINOS X KG";"";"1.29";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24235kg_2.jpg";"https://vallearriba.elplazas.com/pepino.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24235kg_2.jpg", 1)"
"p9";"FLORES DE BROCOLI VIMA CONGELADAS 450G";"";"6.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004614un.jpg";"https://vallearriba.elplazas.com/plz-20004614un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004614un.jpg", 1)"
"p10";"KIWI NATURAL X KG";"";"12.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24165kg_2.jpg";"https://vallearriba.elplazas.com/kiwi.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24165kg_2.jpg", 1)"
"p11";"PULPA DE DURAZNO TU VERDURA 1KG";"";"5.35";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003500un_1.jpg";"https://vallearriba.elplazas.com/plz-20003500un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003500un_1.jpg", 1)"
"p12";"AJOPORRO X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24013kg_2.jpg";"https://vallearriba.elplazas.com/ajoporro.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24013kg_2.jpg", 1)"
"p13";"CELERY X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24059kg_2.jpg";"https://vallearriba.elplazas.com/celery.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24059kg_2.jpg", 1)"
"p15";"REPOLLITOS DE BRUSELAS X KG";"";"13.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24257kg.jpg";"https://vallearriba.elplazas.com/plz-24257kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24257kg.jpg", 1)"
"p16";"PULPA DE MORA COTOPERI 397G";"";"3.35";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864004un.jpg";"https://vallearriba.elplazas.com/plz-20004864004un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864004un.jpg", 1)"
"p17";"PULPA DE GUAYABA COTOPERI 397G";"";"2.00";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864007un.jpg";"https://vallearriba.elplazas.com/plz-20004864007un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864007un.jpg", 1)"
"p18";"ACELGAS LOS FRESCALES BOLSA DE 300G";"";"4.50";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004053un_2.jpg";"https://vallearriba.elplazas.com/acelgas-frescales-300g.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004053un_2.jpg", 1)"
"p19";"PEREJIL LISO X KG";"";"4.75";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24240kg.jpg";"https://vallearriba.elplazas.com/plz-24240kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24240kg.jpg", 1)"
"p20";"PAK CHOI ARAUAK MICROGREENS 50G";"";"5.15";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004502un.jpg";"https://vallearriba.elplazas.com/plz-20004502un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004502un.jpg", 1)"
"p21";"KALE MORADO ARAUAK MICROGREENS 50G";"";"5.15";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004506un.jpg";"https://vallearriba.elplazas.com/plz-20004506un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004506un.jpg", 1)"
"p22";"VAINITAS X KG";"";"3.75";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24291kg_2.jpg";"https://vallearriba.elplazas.com/vainitas.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24291kg_2.jpg", 1)"
"p24";"GUANABANA X KG";"";"3.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24102kg_2.jpg";"https://vallearriba.elplazas.com/guanabana.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24102kg_2.jpg", 1)"
"p25";"AJO PELADO CULPROFES 150G";"";"4.00";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003948un_2.jpg";"https://vallearriba.elplazas.com/ajo-pelado-culprofres-150g.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003948un_2.jpg", 1)"
"p26";"PARCHITAS CRIOLLAS X KG";"";"4.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24230kg_2.jpg";"https://vallearriba.elplazas.com/parchita-criolla.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24230kg_2.jpg", 1)"
"p27";"OCUMO CHINO X KG";"";"2.45";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24214kg_2.jpg";"https://vallearriba.elplazas.com/ocumo-chino.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24214kg_2.jpg", 1)"
"p28";"CHAYOTA X KG";"";"1.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24079kg_2.jpg";"https://vallearriba.elplazas.com/chayota.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24079kg_2.jpg", 1)"
"p29";"HIERBABUENA CULPROFRES 25G";"";"1.60";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003950un.jpg";"https://vallearriba.elplazas.com/plz-20003950un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003950un.jpg", 1)"
"p30";"RUGULA ARAUAK MICROGREENS 50G";"";"5.15";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004504un.jpg";"https://vallearriba.elplazas.com/plz-20004504un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004504un.jpg", 1)"
"p31";"TOMATES DE ARBOL X KG";"";"4.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24277kg_2.jpg";"https://vallearriba.elplazas.com/tomate-de-arbol.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24277kg_2.jpg", 1)"
"p33";"ALBAHACA X KG";"";"7.35";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24014kg_1.jpg";"https://vallearriba.elplazas.com/plz-24014kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24014kg_1.jpg", 1)"
"p34";"QUESO PALMITA MADURADO DE AÑO DELIZULIA X KG";"";"15.39";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20272kg_2.jpg";"https://vallearriba.elplazas.com/queso-palmita-madurado-de-ano-delizulia.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20272kg_2.jpg", 1)"
"p35";"QUESO GUAYANES X KG";"";"8.19";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20215kg_2.jpg";"https://vallearriba.elplazas.com/queso-guayanes.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20215kg_2.jpg", 1)"
"p36";"QUESO MOZZARELLA CRISBRAY 2021 X KG";"";"12.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20772kg.jpg";"https://vallearriba.elplazas.com/plz-20772kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20772kg.jpg", 1)"
"p37";"JAMÓN COCIDO PLUMROSE POR KILO";"";"14.59";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21064kg_2.jpg";"https://vallearriba.elplazas.com/jamon-cocido-plumrose-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21064kg_2.jpg", 1)"
"p38";"QUESO BLANCO MERIDEÑO X KG";"";"10.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20613kg_2.jpg";"https://vallearriba.elplazas.com/queso-blanco-merideno-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20613kg_2.jpg", 1)"
"p39";"QUESO TELITA X KG";"";"8.19";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20366kg_2.jpg";"https://vallearriba.elplazas.com/queso-telita-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20366kg_2.jpg", 1)"
"p40";"QUESO PASTEURIZADO CRISBRAY 2021 X KG";"";"12.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20771kg.jpg";"https://vallearriba.elplazas.com/plz-20771kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20771kg.jpg", 1)"
"p43";"QUESO CATA DE ANO RALLADO X KG";"";"17.29";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20647kg.jpg";"https://vallearriba.elplazas.com/plz-20647kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20647kg.jpg", 1)"
"p44";"QUESO KALDINI UNTABLE 8 TRIANGULOS 120G";"";"3.29";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20005319un.jpg";"https://vallearriba.elplazas.com/plz-20005319un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20005319un.jpg", 1)"
"p45";"PEPPERONI MALLORCA X KG";"";"18.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21433kg_1_.jpg";"https://vallearriba.elplazas.com/plz-21433kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21433kg_1_.jpg", 1)"
"p46";"QUESO BLANCO PALMIBUFALA X KG";"";"17.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20158kg_4.jpg";"https://vallearriba.elplazas.com/queso-blanco-palmibufala-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20158kg_4.jpg", 1)"
"p47";"QUESO MOZARELLA SANTA MARIA X KG";"";"17.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20270kg_2.jpg";"https://vallearriba.elplazas.com/queso-mozarella-santa-maria-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20270kg_2.jpg", 1)"
"p48";"QUESO PARMESANO QUENACA X KG";"";"50.00";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20294kg.jpg";"https://vallearriba.elplazas.com/plz-20294kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20294kg.jpg", 1)"
"p49";"SALCHICHAS FRANKFURT PLUMROSE DE 350G";"";"9.89";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003830un.jpg";"https://vallearriba.elplazas.com/plz-20003830un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003830un.jpg", 1)"
"p50";"SALCHICHAS BLANCAS LEONESA X KG";"";"21.09";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22216kg.jpg";"https://vallearriba.elplazas.com/plz-22216kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22216kg.jpg", 1)"
